Sample,X(ms) [01.01.2012 00:40:29 721 UTC],"InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.x","InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.y","InstAGV.instMoveCtrlDiff.trackValues.trackDeviation.a","frontPGV.xPosition","InstAGV.instMoveCtrlDiff.vCurrent.x","InstAGV.instMoveCtrlDiff.vCurrent.a"
3954,1325378469275.023208,0,8.89999961853027,-0.600006103515625,3847.4,300.577453613281,-0.252272725105286
3955,1325378469281.395048,0,8.89999961853027,-0.600006103515625,3850.3,301.164520263672,-0.378409117460251
3956,1325378469291.393648,0,9.30000019073486,-0.29998779296875,3854.1,301.164520263672,-0.378409117460251
3957,1325378469301.331472,0,9.30000019073486,-0.29998779296875,3857.1,297.759521484375,-0.252272725105286
3958,1325378469311.371776,0,9.30000019073486,-0.20001220703125,3860.1,298.933654785156,0.0840909034013748
3959,1325378469321.364776,0,9.39999961853027,-0.20001220703125,3863,297.524719238281,1.765909075737
3960,1325378469331.428088,0,9.80000019073486,-0.29998779296875,3865.7,299.520721435547,0.126136362552643
3961,1325378469341.389008,0,9.80000019073486,-0.29998779296875,3868.6,298.464019775391,0.336363613605499
3962,1325378469351.438280,0,9.89999961853027,-0.20001220703125,3871.6,299.638153076172,-0.16818180680275
3963,1325378469361.378192,0,10,-0.20001220703125,3874.5,300.812286376953,-0.504545450210571
3964,1325378469375.056336,0,9.69999980926514,0.100000001490116,3878,299.520721435547,0.378409117460251
3965,1325378469381.411112,0,9.80000019073486,0.100000001490116,3881,301.751586914063,-1.345454454422
3966,1325378469391.364536,0,9.80000019073486,0.100000001490116,3884,301.751586914063,-1.345454454422
3967,1325378469401.376744,0,9.89999961853027,0.100000001490116,3887,301.281921386719,-0.336363613605499
3968,1325378469411.438960,0,9.39999961853027,-0.29998779296875,3889.3,300.107788085938,0.16818180680275
3969,1325378469421.440576,0,9.39999961853027,-0.29998779296875,3892.3,300.107788085938,0.16818180680275
